"00_fenetre_unique","fenetre-unique"
"01_fenetres_par_deux","fenetres-par-deux"
"02_porte_unique","porte-unique"
"03_portes_par_deux","portes-par-deux"
"04_porte_et_fenetres","portes-et-fenetres"
"05_quasi_canoniques","quasi-canoniques"
"06_facades_repetitives","facades-repetitives"
"07_facades_lato_sensu","facades-lato-sensu"
"08_perspectives","perspectives"
"09_de_dedans","de-dedans"
"10_atypiques","atypiques"
"11_cadrages_inhabituels","cadrages-inhabituels"
"12_details","details"
"13_portail","portail"
"14_fer_forge","fer-forge"
"15_quasi_rebut","quasi-rebut"
